book_number,chapter_number,book_title,chapter_title,pub_year,cluster_id,cluster_label,chunk_count,narrative_words,sent_count,sent_mean_words,sent_std_words,sent_pct_long,sent_pct_short,pct_questions,flesch_ease,fk_grade,fog_index,ttr,mean_word_len,abstract_ratio,hapax_ratio,hedge_per_1k,assert_per_1k,hedge_assert_ratio,causal_per_1k,contrast_per_1k,additive_per_1k,exemplify_per_1k,i_per_1k,we_per_1k,passive_per_1k,semicolon_per_1k,emdash_per_1k,colon_per_1k,citation_per_1k,self_cite_per_1k,metalinguistic_per_1k,definitional_per_1k,subordinate_per_1k
1,10,Marx and Heidegger,Chapter IX: Being-Itself,2010,0,Heidegger's Philosophy of Understanding and Being,58,8832,323,27.35,22.48,32.51,19.2,4.64,37.85,14.41,18.22,0.1759,5.038,0.0516,0.0839,4.529,4.982,0.4762,2.491,3.17,1.132,0.34,0.113,7.812,1.245,2.604,0.0,5.322,0.453,0.0,0.0,1.812,2.831
1,11,Marx and Heidegger,Concluding Remarks,2010,18,"Marx, Heidegger, and Historical Ontology",15,1869,396,4.72,8.13,2.53,89.9,1.52,36.39,9.24,13.49,0.3636,5.949,0.0452,0.2127,0.0,2.14,0.0,1.605,2.675,0.0,0.535,2.675,0.0,1.07,1.605,0.0,36.918,3.745,0.0,0.0,0.535,0.535
2,1,Tacit and Explicit Understanding in Computer Support,INTRODUCTION,2010,10,Representing Tacit Knowledge in Design Systems,17,2309,107,21.58,13.93,16.82,14.95,0.93,19.17,15.66,19.64,0.278,5.88,0.0448,0.1417,5.197,3.032,0.6316,0.866,2.599,2.165,0.866,25.552,0.866,1.732,0.433,0.866,3.032,0.433,0.0,0.0,0.0,3.032
2,2,Tacit and Explicit Understanding in Computer Support,CHAPTER 1. OVERVIEW,2010,10,Representing Tacit Knowledge in Design Systems,121,16373,695,23.56,12.86,19.86,8.78,0.0,16.25,16.59,20.64,0.1331,5.865,0.049,0.0511,2.81,3.848,0.422,0.794,2.199,1.893,1.527,0.244,1.527,1.283,2.077,1.222,2.321,2.871,0.122,0.0,2.199,2.932
2,4,Tacit and Explicit Understanding in Computer Support,CHAPTER 2. THREE METHODOLOGIES OF DESIGN,2010,10,Representing Tacit Knowledge in Design Systems,81,11684,492,23.76,16.75,22.15,15.45,0.81,27.91,15.03,18.85,0.1701,5.492,0.0469,0.0715,5.392,5.649,0.4884,0.685,1.883,1.626,1.369,0.257,3.937,0.428,1.712,1.626,3.509,2.396,0.0,0.0,1.626,3.081
2,5,Tacit and Explicit Understanding in Computer Support,CHAPTER 3. INTERPRETATION IN LUNAR HABITAT DESIGN,2010,10,Representing Tacit Knowledge in Design Systems,100,14795,785,18.87,13.69,16.69,25.99,5.22,41.06,12.02,15.46,0.1585,5.22,0.0349,0.065,6.218,3.244,0.6571,0.135,2.095,1.352,1.149,2.095,0.946,2.095,2.636,3.717,5.272,0.946,0.0,0.0,1.014,3.582
2,6,Tacit and Explicit Understanding in Computer Support,CHAPTER 4. HEIDEGGER’S PHILOSOPHY OF INTERPRETATION,2010,0,Heidegger's Philosophy of Understanding and Being,112,16165,686,23.56,14.55,21.57,10.5,1.9,31.59,14.46,18.79,0.1369,5.366,0.048,0.0584,3.031,4.887,0.3828,0.557,2.351,1.608,2.351,1.052,11.197,0.68,1.918,2.598,3.464,2.846,0.247,0.0,3.835,3.526
2,7,Tacit and Explicit Understanding in Computer Support,CHAPTER 5. GROUNDING EXPLICIT DESIGN KNOWLEDGE,2010,10,Representing Tacit Knowledge in Design Systems,77,10611,518,20.48,13.0,17.18,16.8,0.0,23.83,14.83,18.78,0.1542,5.691,0.0531,0.0609,3.487,5.843,0.3737,1.131,2.921,1.696,1.885,0.377,5.278,1.225,1.225,3.393,2.545,3.675,0.094,0.0,2.639,2.45
2,8,Tacit and Explicit Understanding in Computer Support,CHAPTER 6. A THEORY OF COMPUTER SUPPORT,2010,10,Representing Tacit Knowledge in Design Systems,44,5994,274,21.88,12.53,17.52,11.68,0.36,22.05,15.41,19.08,0.1976,5.74,0.0511,0.0887,3.337,4.338,0.4348,0.501,1.335,2.669,2.836,0.334,1.502,0.0,1.835,2.503,1.668,2.002,0.0,0.0,3.003,2.002
2,9,Tacit and Explicit Understanding in Computer Support,CHAPTER 7. RELATED COMPUTER SYSTEMS FOR DESIGN,2010,10,Representing Tacit Knowledge in Design Systems,109,15328,686,22.34,14.25,17.78,10.93,0.73,26.15,14.9,18.39,0.1372,5.63,0.0455,0.0532,3.262,3.197,0.5051,0.522,3.197,2.218,2.675,0.13,0.196,1.696,1.696,2.153,3.523,3.98,0.065,0.0,2.218,3.001
2,10,Tacit and Explicit Understanding in Computer Support,Part III. Computer Support of Cooperative Design,2010,10,Representing Tacit Knowledge in Design Systems,4,508,25,20.32,11.25,16.0,12.0,0.0,18.18,15.65,20.03,0.3992,5.913,0.0464,0.2319,7.874,7.874,0.5,0.0,3.937,1.969,0.0,0.0,0.0,0.0,3.937,1.969,1.969,1.969,0.0,0.0,0.0,5.906
2,11,Tacit and Explicit Understanding in Computer Support,CHAPTER 8. REPRESENTING THE DESIGN SITUATION,2010,10,Representing Tacit Knowledge in Design Systems,59,8309,424,19.6,11.68,14.86,15.33,0.0,31.42,13.56,17.05,0.1538,5.48,0.0388,0.0599,4.573,2.287,0.6667,0.12,2.287,3.37,2.527,0.361,0.0,1.324,1.444,0.241,1.324,1.565,0.0,0.0,1.565,3.129
2,12,Tacit and Explicit Understanding in Computer Support,CHAPTER 9. INTERPRETIVE PERSPECTIVES FOR COLLABORATION,2010,10,Representing Tacit Knowledge in Design Systems,72,10260,533,19.32,16.33,15.01,24.58,0.0,40.6,12.14,15.53,0.1353,5.251,0.0294,0.0532,4.386,3.216,0.5769,0.097,1.657,3.606,1.754,1.17,0.195,0.975,0.78,1.852,6.14,0.195,0.0,0.0,1.559,3.509
2,13,Tacit and Explicit Understanding in Computer Support,CHAPTER 10. A LANGUAGE FOR SUPPORTING INTERPRETATION,2010,14,HERMES Language Design and Features,114,16572,733,22.62,18.57,18.69,17.33,0.0,32.66,14.1,17.76,0.1122,5.375,0.0348,0.0394,4.164,2.595,0.6161,0.664,2.233,2.534,2.052,0.241,0.0,0.965,2.414,1.328,6.758,0.845,0.0,0.0,3.621,2.112
2,14,Tacit and Explicit Understanding in Computer Support,CHAPTER 11. CONTRIBUTIONS,2010,10,Representing Tacit Knowledge in Design Systems,36,4853,394,12.32,12.33,7.36,53.3,0.51,23.85,12.68,16.19,0.2697,6.001,0.0647,0.1423,1.236,1.648,0.4286,0.0,2.061,1.855,0.824,1.648,0.618,0.618,1.442,1.03,14.218,3.709,0.0,0.0,0.618,1.236
2,15,Tacit and Explicit Understanding in Computer Support,APPENDIX,2010,14,HERMES Language Design and Features,131,19177,911,21.05,33.63,13.06,19.98,0.55,36.91,13.03,16.44,0.1119,5.333,0.0345,0.0388,4.745,2.399,0.6642,0.469,2.868,1.773,1.512,0.104,0.156,1.929,1.721,9.282,13.871,0.574,0.0,0.0,1.929,2.92
9,3,Essays in Computer-Supported Collaborative Learning,Toward a New Science of Collaborative Learning,2010,12,Group Cognition and Collaborative Knowledge Building,31,4558,223,20.44,13.17,14.8,17.49,16.14,41.56,12.37,15.58,0.2171,5.269,0.0304,0.1007,2.852,2.194,0.5652,0.0,3.51,2.413,0.439,10.531,14.699,0.439,0.658,2.633,1.316,2.633,0.658,0.219,2.194,2.413
9,4,Essays in Computer-Supported Collaborative Learning,Team Cognition in Socio-Technical Systems,2010,11,Group Cognition in Collaborative Learning,18,2288,96,23.85,17.58,29.17,26.04,0.0,16.08,16.86,20.76,0.3127,5.865,0.0558,0.1643,3.497,3.497,0.5,0.0,1.748,3.059,3.059,5.245,8.304,0.0,4.808,8.304,16.171,9.615,2.622,0.0,1.311,2.622
9,10,Essays in Computer-Supported Collaborative Learning,Enhancing Mathematical Communication for Virtual Math Teams,2010,4,Virtual Math Teams Project and Online Collaboration,64,8624,441,19.57,15.91,14.97,22.68,0.91,31.81,13.49,16.94,0.2026,5.618,0.0453,0.0886,3.131,1.391,0.6923,0.116,1.971,2.899,0.696,0.348,6.03,0.928,5.566,3.363,10.436,6.841,1.507,0.0,0.696,2.087
9,11,Essays in Computer-Supported Collaborative Learning,Analyzing the Discourse of GeoGebra Collaborations,2010,7,Group Discourse in Mathematics Problem-Solving,30,4022,245,16.43,14.93,12.24,40.41,0.0,30.3,12.94,16.16,0.2673,5.668,0.0464,0.1266,2.735,3.232,0.4583,0.995,2.735,1.492,2.486,0.995,11.934,0.746,1.492,1.492,17.156,3.978,1.243,0.0,0.497,2.486
9,12,Essays in Computer-Supported Collaborative Learning,Supporting Group Math with Software Conversational Agents,2010,4,Virtual Math Teams Project and Online Collaboration,24,3163,241,13.14,11.72,7.05,46.47,0.41,34.77,11.41,14.2,0.2759,5.705,0.0426,0.1369,3.478,1.581,0.6875,0.632,0.316,2.845,2.213,2.213,7.588,0.632,1.265,0.948,16.756,5.691,0.948,0.0,0.316,0.316
10,1,Essays in Group-Cognitive Science,Group Cognition as a Foundation for the New Science of Learning,2010,11,Group Cognition in Collaborative Learning,77,10814,427,25.33,14.88,24.36,3.04,2.11,25.26,15.82,19.35,0.1806,5.595,0.047,0.0792,4.069,2.127,0.6567,1.017,2.127,2.774,1.757,0.277,10.727,1.295,2.959,4.531,1.572,8.97,1.942,0.0,0.555,2.867
10,9,Essays in Group-Cognitive Science,Coordinating Collaborative Action in Online Math ProblemSolving,2010,4,Virtual Math Teams Project and Online Collaboration,42,5795,302,19.2,13.85,16.56,25.83,3.97,30.6,13.25,17.32,0.1855,5.658,0.0998,0.0776,4.314,1.553,0.7353,1.035,0.518,1.553,0.69,2.416,5.867,0.518,1.208,0.0,5.695,5.349,0.518,0.173,0.345,1.898
12,1,Essays in Online Mathematics Interaction,Interactional Achievement of Shared Mathematical Understanding in a Virtual Math Team,2010,7,Group Discourse in Mathematics Problem-Solving,46,6394,299,21.4,18.04,23.08,32.78,6.02,29.62,14.02,17.23,0.2129,5.579,0.0433,0.0873,2.033,2.033,0.5,2.19,1.408,3.128,2.19,0.782,7.351,0.782,3.128,2.19,3.754,7.038,1.251,0.156,2.033,2.19
13,1,Essays in Collaborative Dynamic Geometry,Multi-User GeoGebra for Virtual Math Teams,2010,4,Virtual Math Teams Project and Online Collaboration,30,4370,197,22.19,12.85,15.74,9.64,0.51,35.15,13.63,17.17,0.2394,5.351,0.0426,0.1095,3.432,0.915,0.7895,0.229,2.975,3.89,0.229,0.0,8.924,0.0,2.059,1.602,2.517,1.373,0.229,0.0,0.458,1.831
15,1,Global Introduction to CSCL,English third edition (2020),2010,12,Group Cognition and Collaborative Knowledge Building,76,10160,546,18.63,12.75,12.09,25.09,1.65,21.68,14.64,17.71,0.1926,5.925,0.0486,0.0892,3.445,3.74,0.4795,0.689,2.165,2.362,1.575,0.0,4.134,1.181,3.346,3.74,7.677,8.169,1.772,0.0,1.673,1.575
15,3,Global Introduction to CSCL,Spanish Translation by Cesar Alberto  & Collazos Ordoñez,2010,17,Foundations and Evolution of CSCL,77,10472,384,27.27,17.26,27.6,5.21,1.82,-0.93,18.94,22.44,0.1914,5.575,0.0012,0.0934,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.056,1.719,3.438,9.931,0.955,0.0,0.0,0.0
15,5,Global Introduction to CSCL,Simplified Chinese Translation by Nan Zhou,2010,12,Group Cognition and Collaborative Knowledge Building,5,343,3,114.33,151.8,33.33,66.67,0.0,-12.18,28.54,29.18,0.5549,6.268,0.0244,0.4024,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.563,0.0,8.746,122.449,11.662,0.0,0.0,0.0
15,6,Global Introduction to CSCL,Traditional Chinese Translation by Fei-Ching Chen,2010,17,Foundations and Evolution of CSCL,11,715,2,357.5,356.5,50.0,50.0,0.0,-115.1,67.57,70.95,0.4773,6.302,0.026,0.3052,0.0,0.0,0.5,0.0,0.0,0.0,1.399,0.0,0.0,0.0,30.769,5.594,5.594,86.713,13.986,0.0,0.0,0.0
15,8,Global Introduction to CSCL,German Translation by Martin Mühlpfordt,2010,17,Foundations and Evolution of CSCL,89,10489,634,16.57,12.71,10.88,33.6,1.1,9.66,15.55,18.47,0.254,6.711,0.0265,0.1287,0.572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,2.002,0.286,9.152,10.583,0.953,0.0,0.095,0.095
16,16,Editorial Introductions to ijCSCL,5(1): The CSCL field matures,2010,17,Foundations and Evolution of CSCL,9,1325,53,25.0,11.97,24.53,1.89,1.89,29.97,15.07,18.6,0.3951,5.436,0.0516,0.2418,3.019,3.019,0.5,0.0,3.019,3.019,1.509,0.0,7.547,1.509,0.755,4.528,4.528,0.755,0.0,0.0,0.755,2.264
16,17,Editorial Introductions to ijCSCL,5(2): A prism of CSCL research,2010,1,Group Processes and Collaborative Knowledge Building,12,1601,61,26.25,12.7,21.31,1.64,0.0,16.75,17.26,20.87,0.3689,5.783,0.0456,0.2121,1.249,4.997,0.2,0.625,1.249,0.0,0.0,0.0,3.748,0.625,0.625,5.621,2.498,0.0,0.0,0.0,0.625,0.625
16,18,Editorial Introductions to ijCSCL,5(3): Guiding group cognition in CSCL,2010,1,Group Processes and Collaborative Knowledge Building,12,1621,63,25.73,12.37,28.57,3.17,1.59,20.33,16.68,20.61,0.3648,5.781,0.0491,0.2098,3.085,5.552,0.3571,0.0,3.085,3.085,0.617,0.0,1.851,0.0,0.617,3.701,4.318,0.0,0.0,0.0,0.617,1.234
16,19,Editorial Introductions to ijCSCL,5(4): Beyond folk theories of CSCL,2010,1,Group Processes and Collaborative Knowledge Building,18,2448,83,29.49,47.45,25.3,7.23,0.0,16.91,18.09,21.32,0.4103,5.754,0.0337,0.2443,3.676,2.042,0.6429,0.408,2.859,2.859,1.634,0.0,2.859,0.408,1.634,5.31,3.268,0.0,0.0,0.0,1.225,0.817
16,24,Editorial Introductions to ijCSCL,7(1): Ethnomethodologically informed,2010,1,Group Processes and Collaborative Knowledge Building,43,5921,350,16.93,13.37,15.14,37.43,0.0,32.55,12.74,15.78,0.2348,5.62,0.0319,0.1104,5.067,1.858,0.7317,0.338,2.702,2.196,2.027,0.676,3.884,0.338,1.689,4.222,7.6,5.236,1.013,0.169,1.52,2.871
16,25,Editorial Introductions to ijCSCL,7(2): Cognizing mediating: Unpacking the entanglement of artifacts with collective minds,2010,11,Group Cognition in Collaborative Learning,23,2889,175,16.52,14.33,20.0,46.29,0.57,17.37,14.67,18.41,0.3393,6.171,0.0422,0.1889,1.731,1.385,0.5556,0.0,1.385,1.385,2.423,0.346,4.154,0.346,4.154,4.846,7.269,9.0,0.346,0.0,0.346,1.385
16,38,Editorial Introductions to ijCSCL,10(3): Conceptualizing the intersubjective group,2010,1,Group Processes and Collaborative Knowledge Building,41,5405,345,15.68,14.09,12.17,43.48,0.87,24.57,13.44,16.76,0.2495,5.962,0.0561,0.12,2.96,2.96,0.5,0.555,2.775,2.405,2.035,0.555,2.035,0.925,7.216,1.85,7.586,9.251,1.48,0.185,0.555,1.295
17,1,Proposals for Research,Restoration of the Founding Homestead of Chatham,2010,9,Salt Marsh Conservation and Climate Resilience,23,3190,172,18.55,17.51,8.14,25.58,11.63,33.99,12.93,16.55,0.2387,5.418,0.0557,0.1058,1.254,0.94,0.5714,0.0,0.0,2.508,0.0,0.627,0.94,1.254,1.254,0.0,14.42,2.194,0.0,0.0,0.94,0.313
17,2,Proposals for Research,Frost Fish Creek Salt Marsh Preservation,2010,9,Salt Marsh Conservation and Climate Resilience,29,4076,196,20.8,15.78,14.8,17.86,7.65,38.41,12.79,16.68,0.2343,5.362,0.0498,0.1065,2.453,0.736,0.7692,0.491,0.981,4.416,1.227,0.0,0.981,1.717,3.68,0.736,8.342,2.944,0.0,0.0,0.245,1.717
17,3,Proposals for Research,Frost Fish Creek Restoration Project Application to DER Priority Projects,2010,9,Salt Marsh Conservation and Climate Resilience,71,10064,563,17.88,13.18,11.72,24.87,3.2,42.13,11.66,15.28,0.1669,5.33,0.0571,0.0645,4.769,0.994,0.8276,0.497,1.192,4.074,1.49,1.192,0.795,0.795,2.484,0.497,8.048,1.59,0.0,0.099,0.199,0.497
17,4,Proposals for Research,DR K-12: Computer-Supported Math Discourse Among Teachers and Students,2010,7,Group Discourse in Mathematics Problem-Solving,110,14424,887,16.29,20.38,13.98,48.93,0.45,24.89,13.59,16.58,0.1635,5.983,0.0471,0.0666,0.485,0.693,0.4118,0.555,0.763,2.427,0.763,0.416,1.525,0.763,10.33,4.229,15.46,9.498,1.733,0.0,0.277,1.525
17,5,Proposals for Research,ONR: Theories and Models of Group Cognition,2010,7,Group Discourse in Mathematics Problem-Solving,102,13820,874,15.83,17.61,11.56,42.91,0.57,22.98,13.57,16.86,0.1823,5.974,0.0538,0.0756,1.013,0.796,0.56,0.796,1.592,1.809,2.171,1.013,5.716,0.868,1.809,0.0,10.709,5.427,0.941,0.0,0.434,1.52
17,6,Proposals for Research,ALT: Dynamic Support for Virtual Math Teams,2010,5,Perspectives and Knowledge Construction Systems,107,14814,692,21.42,19.76,21.68,29.62,1.3,26.61,14.46,17.79,0.1538,5.676,0.0459,0.06,2.16,0.743,0.7442,1.755,2.025,2.97,1.688,0.81,16.268,0.675,5.94,0.0,6.548,9.923,0.405,0.0,1.148,3.645
17,7,Proposals for Research,SLC: Engaged Learning in Online Communities,2010,1,Group Processes and Collaborative Knowledge Building,91,12320,833,14.83,15.45,11.76,48.98,3.0,28.48,12.67,15.74,0.1852,5.853,0.0507,0.0785,1.867,0.649,0.7419,0.731,1.461,2.76,1.705,0.244,1.705,0.568,4.14,0.649,13.88,8.198,0.244,0.081,0.812,2.029
17,8,Proposals for Research,ITR: Catalyzing & Nurturing Online Workgroups to Power Virtual Learning Communities,2010,5,Perspectives and Knowledge Construction Systems,98,13102,619,21.17,13.78,18.9,20.84,0.97,25.3,14.76,18.0,0.1587,5.769,0.0455,0.0636,1.832,0.763,0.7059,0.305,1.908,1.755,1.298,1.069,1.298,0.763,5.953,0.0,14.96,9.846,2.519,0.0,0.84,0.992
17,9,Proposals for Research,NSDL: Collaboration Services for the Math Forum Digital Library,2010,5,Perspectives and Knowledge Construction Systems,110,14742,851,17.34,15.14,14.1,37.49,0.24,28.33,13.39,16.72,0.1537,5.768,0.043,0.0609,2.442,0.407,0.8571,0.271,1.492,2.849,1.153,1.221,1.425,0.611,6.241,0.0,9.158,12.481,2.171,0.0,0.746,1.357
17,10,Proposals for Research,Foundations: Educational Online Communities for At-Risk Youth,2010,17,Foundations and Evolution of CSCL,15,1991,86,23.15,14.52,20.93,13.95,0.0,16.7,16.38,19.84,0.3125,5.948,0.0657,0.1658,0.502,1.005,0.3333,1.005,0.0,0.502,2.009,0.0,10.045,0.502,3.516,0.0,12.557,0.502,0.0,0.0,0.502,0.502
17,11,Proposals for Research,New Media to Support Collaborative Knowledge Building: Beyond Consumption and Chat,2010,5,Perspectives and Knowledge Construction Systems,18,2351,109,21.57,10.92,17.43,13.76,0.0,19.76,15.77,19.58,0.3001,5.815,0.0494,0.1464,4.254,1.701,0.7143,0.0,1.276,3.828,1.276,0.0,2.552,2.977,5.104,0.0,13.611,3.403,1.276,0.0,1.276,0.851
17,12,Proposals for Research,Interoperability among Knowledge-Building Environments,2010,5,Perspectives and Knowledge Construction Systems,10,1301,50,26.02,27.6,12.0,2.0,0.0,17.8,17.23,20.06,0.3675,5.819,0.0455,0.1795,1.537,0.0,1.0,0.769,0.769,0.0,1.537,0.0,1.537,0.0,0.0,0.0,16.91,0.0,0.0,0.0,1.537,1.537
17,13,Proposals for Research,Conceptual Frameworks and Computational Support for Organizational Memories and Organizational Learning,2010,5,Perspectives and Knowledge Construction Systems,92,12354,612,20.19,14.41,17.65,22.39,0.0,18.42,15.39,18.77,0.169,5.879,0.0595,0.0689,1.457,2.024,0.4186,0.324,1.214,2.428,2.105,0.0,13.032,0.729,8.661,0.162,5.828,12.304,1.052,0.081,1.295,1.619
17,14,Proposals for Research,Allowing Learners to be Articulate: Incorporating Automated Text Evaluation into Collaborative Software Environments,2010,5,Perspectives and Knowledge Construction Systems,71,9955,560,17.78,11.99,12.5,27.5,3.39,34.0,12.73,15.65,0.1757,5.611,0.0362,0.0709,7.233,2.712,0.7273,0.502,1.708,3.415,2.009,0.0,15.269,0.301,1.205,0.0,3.214,2.712,0.402,0.0,0.502,3.114
17,15,Proposals for Research,Collaborative Research on KnowledgeBuilding Environments: Growing a National and International Research Community for Distance Learning Information Technology,2010,5,Perspectives and Knowledge Construction Systems,27,3498,157,22.29,21.33,14.65,20.38,4.46,15.58,16.31,19.24,0.2557,6.017,0.0488,0.1215,0.858,0.858,0.5,0.0,1.429,2.001,0.286,0.0,3.716,0.572,5.432,0.0,12.007,9.148,1.429,0.0,0.572,1.429
17,16,Proposals for Research,Models for Organizing Collaboration: Ways of Supporting Distributed Learning,2010,5,Perspectives and Knowledge Construction Systems,13,1724,79,21.82,12.37,8.86,11.39,8.86,19.42,15.8,19.26,0.2796,5.88,0.0407,0.1347,0.58,1.74,0.25,0.58,0.0,1.74,1.16,2.9,13.921,0.0,0.58,0.0,6.381,0.0,0.0,0.0,0.0,1.74
17,17,Proposals for Research,POW! (Perspectives On the Web),2010,5,Perspectives and Knowledge Construction Systems,26,3293,199,16.55,12.88,10.55,34.17,0.5,21.6,14.16,18.23,0.2375,6.011,0.0485,0.1076,2.126,0.911,0.7,0.0,1.518,0.607,0.607,1.215,1.518,1.215,6.985,0.0,22.776,8.199,8.199,0.0,0.0,2.126
17,18,Proposals for Research,The Research CyberStudio: Supporting Researchers as LifeLong Learners,2010,5,Perspectives and Knowledge Construction Systems,23,3069,162,18.94,13.03,15.43,24.07,0.0,17.92,15.28,18.36,0.2641,6.057,0.038,0.1292,1.955,1.303,0.6,0.978,1.629,3.584,2.281,0.978,0.0,0.0,1.955,0.0,2.933,3.91,1.303,0.0,0.326,1.629
4,5,Studying Virtual Math Teams,Interactional Methods and Social Practices in VMT,2011,4,Virtual Math Teams Project and Online Collaboration,57,8117,337,24.09,16.65,19.88,6.82,1.78,31.35,14.58,17.99,0.1947,5.382,0.0373,0.0815,3.45,2.587,0.5714,1.109,2.464,3.08,1.602,0.862,16.139,1.848,4.682,2.341,2.71,5.667,0.862,0.0,1.602,3.326
9,1,Essays in Computer-Supported Collaborative Learning,Introduction to the Proceedings of CSCL 2011,2011,1,Group Processes and Collaborative Knowledge Building,15,1971,91,21.66,13.66,19.78,16.48,0.0,23.28,15.15,18.52,0.3303,5.74,0.0616,0.1827,1.015,2.029,0.3333,0.0,1.522,6.596,0.507,0.0,2.537,1.522,2.029,3.044,4.059,8.118,0.0,0.0,0.0,2.029
9,5,Essays in Computer-Supported Collaborative Learning,Analyzing Cognition in Online Teams,2011,12,Group Cognition and Collaborative Knowledge Building,89,12864,576,22.34,16.18,20.66,18.4,3.12,40.05,12.91,16.36,0.1609,5.316,0.032,0.0667,3.42,2.488,0.5789,0.622,2.799,1.555,2.021,0.855,8.706,0.855,4.431,3.654,8.784,6.685,0.7,0.0,2.177,2.332
10,4,Essays in Group-Cognitive Science,How I View Learning and Thinking in CSCL Groups,2011,12,Group Cognition and Collaborative Knowledge Building,94,13966,575,24.29,15.01,22.78,9.74,4.52,43.6,12.91,16.33,0.1405,5.157,0.0291,0.0547,3.222,2.148,0.6,0.501,2.649,2.005,1.647,3.222,7.16,0.573,2.22,3.795,4.941,4.869,1.146,0.0,1.933,2.434
10,6,Essays in Group-Cognitive Science,How a Virtual Math Team Structured its Problem Solving,2011,7,Group Discourse in Mathematics Problem-Solving,66,9660,474,20.38,13.45,14.56,16.24,1.69,42.69,11.96,15.33,0.166,5.214,0.0396,0.0637,3.623,3.313,0.5224,0.828,2.484,2.381,1.449,2.07,8.799,1.035,2.484,4.037,4.555,4.865,1.553,0.104,1.553,2.899
10,8,Essays in Group-Cognitive Science,Coding Scheme for Sequential Discourse,2011,3,Threading and Response Structure in Chat,6,768,25,30.72,77.08,12.0,20.0,0.0,23.89,16.65,19.22,0.4387,5.665,0.0502,0.2319,2.604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208,71.615,0.0,5.208,9.115,3.906,0.0,0.0,0.0
11,11,Essays in Philosophy of Group Cognition,Co-experiencing a Virtual World,2011,12,Group Cognition and Collaborative Knowledge Building,52,7450,433,17.21,14.19,14.55,36.72,7.39,43.1,11.15,14.21,0.1996,5.368,0.0356,0.0865,1.879,2.282,0.4516,0.268,1.745,1.074,0.671,1.611,7.785,0.537,3.49,3.221,5.369,6.711,0.94,0.0,1.745,2.148
16,20,Editorial Introductions to ijCSCL,6(1): CSCL in Asia,2011,17,Foundations and Evolution of CSCL,25,3229,174,18.56,14.87,16.09,36.78,0.57,27.7,13.78,16.63,0.3141,5.764,0.0398,0.1691,4.026,1.239,0.7647,0.0,3.097,1.548,0.619,0.31,3.097,2.168,7.123,1.548,12.697,11.768,0.619,0.0,0.929,2.168
16,21,Editorial Introductions to ijCSCL,6(2): Let a hundred flowers bloom; let a hundred schools of thought contend,2011,17,Foundations and Evolution of CSCL,27,3618,173,20.92,14.03,18.5,24.28,5.2,19.8,15.45,18.86,0.3105,5.858,0.0438,0.1645,3.87,4.975,0.4375,0.0,3.593,2.764,1.106,0.0,3.04,4.699,3.593,4.146,5.528,5.528,1.106,0.0,0.276,3.87
16,22,Editorial Introductions to ijCSCL,6(3): Tweets from #cscl2011,2011,12,Group Cognition and Collaborative Knowledge Building,21,2695,173,15.6,14.01,13.29,44.51,1.16,25.15,13.36,16.51,0.3502,5.936,0.0489,0.1882,2.597,2.597,0.5,0.371,1.113,2.597,0.742,0.0,1.484,2.597,2.597,2.968,4.082,5.937,0.371,0.0,0.0,1.484
16,23,Editorial Introductions to ijCSCL,6(4): Collaborating around the tabletop,2011,3,Threading and Response Structure in Chat,26,3544,138,25.68,46.13,19.57,18.12,2.17,21.38,16.4,19.76,0.392,5.701,0.03,0.2357,1.693,1.411,0.5455,0.0,2.54,2.54,0.564,0.282,4.515,1.129,2.257,2.822,3.95,2.257,0.847,0.0,0.0,0.564
5,1,Translating Euclid: Designing a Human-Centered Mathematics,Chapter 1.  Vision: The Cognitive Potential of Collaborative Dynamic Geometry,2012,2,Group Cognition in Dynamic Geometry Learning,62,8484,429,19.78,13.47,12.59,18.18,2.8,25.6,14.41,18.35,0.2048,5.772,0.0406,0.0924,4.715,2.593,0.6452,0.825,2.475,1.061,1.65,1.179,2.004,4.008,4.008,4.95,2.593,8.604,0.707,0.236,1.768,2.122
10,2,Essays in Group-Cognitive Science,A View of ComputerSupported Collaborative Learning Research and its Lessons,2012,1,Group Processes and Collaborative Knowledge Building,71,9664,426,22.69,12.8,18.78,11.74,0.47,22.09,15.6,18.92,0.1928,5.776,0.0382,0.0829,5.484,4.656,0.5408,0.31,4.553,2.587,1.449,3.001,5.484,0.931,3.829,4.76,1.863,9.209,1.759,0.0,1.345,3.518
13,2,Essays in Collaborative Dynamic Geometry,Designing a Learning Environment to Promote Math Discourse,2012,7,Group Discourse in Mathematics Problem-Solving,27,3344,208,16.1,24.43,9.62,49.04,0.48,16.42,14.76,18.45,0.2678,6.207,0.058,0.1352,0.897,1.495,0.375,0.299,1.794,2.392,0.299,0.598,2.99,2.093,11.663,2.99,16.447,8.074,2.093,0.0,0.897,1.794
